comment,comment_type
Which singer did Beyoncé portray in Cadillac Records?,1
Which organization received Beyoncé's entire Cadillac Records salary?,1
"Where did Beyoncé perform on January 20, 2009?",1
Which thriller film did Beyoncé star in with Ali Larter?,1
How many awards was Beyonce nominated for at the 52nd Grammy Awards?,1
Beyonce tied with which artist for most nominations by a female artist?,1
"In 2010, Beyonce worked with which other famous singer?",1
"How many number one singles did Beyonce now have after the song ""Telephone""?",1
Beyonce tied who for most number one singles by a female?,1
Beyonce received how many nominations at the 52nd Annual Grammy Awards?,1
What song was the sixth first place song for Beyonce?,1
Who else appeared with Beyonce in Telephone?,1
Who did they tie with for six top songs?,1
Who did Beyonce tie with for the most nominations in a year?,1
How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,1
Who did Beyoncé tie with for the most Grammy nominations for female artists?,1
"Beyoncé was a featured artist on which singer's hit, Telephone?",1
Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,1
Beyonce would take a break from music in which year?,1
Which year did Beyonce and her father part business ways?,1
Which famous landmark did Beyonce see in China?,1
In what year did Beyonce have her hiatus?,1
Who inspired this hiatus?,1
When did she stop using her father as a manager?,1
How long did the hiatus last?,1
What did Beyoncé announce in January 2010?,1
Who suggested the hiatus for Beyoncé?,1
Who did Beyoncé part ways with during her hiatus?,1
How long did her hiatus last?,1
In which year was reports about Beyonce performing for Muammar Gaddafi surface?,1
Who did Beyonce donate the money to earned from her shows?,1
Beyonce became the first female artist to perform solo in 20 years at which stage?,1
Which organization did Beyonce's spokespeople confirm her donations to?,1
Beyonce was listed in 2011 as the highest paid performer per what?,1
Hoe did everyone learn that Beyonce performed for Kaddafi?,1
When did this leak happen?,1
Who did she tell about the donation?,1
Where did Beyonce perform in 2011?,1
Who did Beyoncé perform privately for in 2011?,1
Who released the information about Beyoncé's performance for the Libyan ruler?,1
Which organization did Beyoncé donate her pay for the private performance to?,1
Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?,1
Beyonce's fourth album debuted in what year?,1
Which single had the most success from that album?,1
Beyonce won an award for which activity in 2011?,1
"in 2011, Beyonce performed for four nights where?",1
When was Beyonce's forth album released?,1
How many copies did the album sell in its first week?,1
Who awarded Beyonce and award for writing?,1
When did she perform at the Roseland ballroom?,1
What is the name of Beyoncé's fourth studio album?,1
When was 4 released?,1
How many copies of 4 sold in the first week?,1
What magazine did Beyoncé write a story for about her earlier hiatus?,1
Where did Beyoncé perform for four nights of standing room only concerts in 2011?,1
When did Beyonce have her first child?,1
Where did Beyonce give birth to her first child?,1
Beyonce's first child is named what?,1
Her first appearance performing since giving birth was where?,1
What was the child's name?,1
How long was it after the birth of her child before she performed again?,1
How many nights did she perform at Atlantic City?,1
When did Beyoncé give birth to a daughter?,1
What did Beyoncé name her daughter?,1
Where was Blue Ivy born?,1
Where was Beyoncé's first public performance after giving birth?,1
How many nights did Beyoncé play at the resort?,1
Destiny's Child released a compilation album about which topic?,1
Beyonce's documentary movie was called what?,1
What did Beyonce sign in 2013?,1
"When did Destiny's Child release its album ""Love Songs""?",1
What was the title of the added track in Love Songs?,1
At whose inauguration did she perform the National Anthem?,1
How many Tweets per minute did the half time show get?,1
When did Destiny's Child release Love Songs?,1
What was the new track for Love Songs?,1
What did Beyoncé sing at President Obama's second inauguration?,1
What event did Beyoncé perform at one month after Obama's inauguration? ,1
What is the name of Beyoncé's documentary film?,1
"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",1
One of Beyonce's most successful tours yet was which one?,1
"Beyonce wrote which song for the movie ""Epic""?",1
Beyonce voiced a character in which animated film?,1
When did the tour begin?,1
Of what event was Beyonce honorary chair?,1
What part did she voice for the movie Epic?,1
What song did Beyonce record for the film Epic?,1
What was the name of Beyoncé's tour that she started on April 15?,1
How many dates did the Mrs. Carter Show World Tour have?,1
Which Amy Winehouse song did Beyoncé cover and release in May 2014?,1
Beyoncé was an honorary chair of the 2013 what?,1
"Which character in the film, Epic, was voiced by Beyoncé?",1
Where did Beyonce release her 5th album to a huge surprise?,1
When did Beyonce get her fifth consecutive number one hit album?,1
Where was the album released? ,1
Who joined Beyonce on her On The Run Tour?,1
Who reported Beyonce to e the top earning woman in music?,1
How much more were her earnings that the year before?,1
When did Beyoncé release her fifth studio album?,1
How many digital copies of her fifth album did Beyoncé sell in six days?,1
What song on Beyoncé's fifth studio album featured her husband?,1
What was the name of the tour featuring both Beyoncé and Jay Z?,1
How many awards did Beyonce take home with her at the 57th Grammy Awards?,1
Which artist beat Beyonce out for Album of the year?,1
Which magazine did Beyonce pose on the cover for in August of 2015?,1
Beyonce would perform with who at Superbowl 50?,1
Beyonce took home how many awards at the 57th Grammy Awards?,1
Beyonce lost to which artist for Album of the year?,1
Who did Beyonce perform next to during Superbowl 50?,1
"If Beyonce won three Grammies in 2015, how many was she nominated for?",1
On what magazine was she the cover model?,1
Who would she perform with at Superbowl 50?,1
With what British band did Beyonce perform on their album?,1
How many awards was Beyoncé nominated for at the 57th annual Grammys?,1
How many awards did Beyoncé win at the 57th Annual Grammys?,1
Beyoncé lost the Album of the Year award to which entertainer?,1
"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",1
Who did Beyonce perform with at Super Bowl 50?,1
"Beyonce released the song ""Formation"" on which online music service?",1
Beyonce's new single released before the super bowl was called what?,1
"What day did Beyonce release her single, Formation?",1
How was the single released?,1
What was the name of the streaming service?,1
What kind of platform was the song released?,1
When did Beyoncé release Formation?,1
"Where did Beyoncé exclusively release her single, Formation?",1
"As of April 2014, how many albums have Jay Z and Beyonce sold together?",1
Where did Beyonce become pregnant?,1
"Beyonce described what as the ""hardest thing she had to endure""?",1
Who did Beyonce have a relationship with?,1
When were Beyonce and Jay Z married?,1
Together how records have they sold ?,1
How did Beyonce deal with the miscarriage of her child?,1
Where was Beyonce when she became pregnant?,1
"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?",1
When were Beyoncé and Jay Z married?,1
How many records combined have Beyoncé and Jay Z sold?,1
What did Beyoncé describe as the saddest thing in her life?,1
Where did Beyoncé get pregnant?,1
Jay Z and Beyonce attended which event together in August of 2011?,1
Beyonce confirmed what after performing one of her songs?,1
How many people watched the 2011 MTV Music Awards?,1
Where did she announce her pregnancy?,1
Why was the broadcast the most-watched in history?,1
What even was recorded in the Guinness World Records?,1
"What was the most searched term in week of Aug 29, 2011?",1
What song did she perform at the MTV Awards?,1
Where did Beyoncé announce her pregnancy?,1
What song did Beyoncé sing prior to announcing her pregnancy?,1
How many people watched the 2011 MTV Video Music Awards?,1
"What was the most searched term on Google for the week of August 29, 2011?",1
Jay Z has a website called what?,1
Which song by Jay Z talked about the pregnancy struggles?,1
What was the name of Beyonce's daughter?,1
At what hospital was the baby delivered?,1
What was the named of the song  dedicated to the child?,1
What does B.I.C. stand for?,1
Who was credited for her cries on the song?,1
When did Beyoncé give birth to her daughter?,1
What did Beyoncé and Jay Z name their daughter?,1
What song did Jay Z release two days after Blue Ivy was born?,1
What is included at the end of Glory?,1
How was Blue Ivy credited on Glory?,1
Beyonce and Jay-Z went to a rally for the acquittal of whom?,1
Beyonce sang which song during the 2009 presidential inauguration?,1
How much did Beyonce raise for Obama at the 40/40 Club?,1
"What did she endorse on March 26, 2013?",1
What did they attend in July 2013?,1
What did she sing at the 2009 Presidential Inauguration?,1
What song did Beyoncé perform at the 2009 inauguration of Obama?,1
What song did Beyoncé perform at the first inaugural dance for the Obamas.,1
What social media platform did Beyoncé upload a picture of her paper ballot on?,1
"When did Beyoncé endorse on March 26, 2013?",1
Beyonce did an interview with which magazine and was asked about feminism?,1
Beyonce supported which campaign that encourages leadership in girls?,1
Where was Beyonce quoted as saying that she is a modern-day feminist?,1
When did she say the she is a feminist?,1
What campaign did she contribute to?,1
What song did she release in 2013 in response to a speech?,1
What does Ban Bossy encourage?,1
"Beyoncé used words from which Nigerian author in her song, Flawless?",1
Which campaign does Beyoncé contribute to that encourages leadership in females?,1
Beyonce signed a letter with who in 2015?,1
An important UN summit took place when?,1
The letter Beyonce signed focused on what issue?,1
What had to be set in developing funding?,1
When did Beyonce sign a letter for ONE Campaign?,1
To whom was the letter addressed?,1
Who are these women?,1
When will they meet?,1
Who did Beyoncé sign a letter for in 2015?,1
Who was the letter addressed to?,1
What was Angela Merkel serving as in relation to the letter?,1
What did the letter want the two recipients to focus on?,1
Beyonce along with Jay Z met with whom's family after their death?,1
Beyonce with Jay Z gave lots of money to bail who out of prison?,1
Who's death caused this protest?,1
How much bail money did they spend?,1
Beyonce beat out which musical artists for most paid between June 2007 and June 2008?,1
Beyonce and Jay Z got a Guinness World record for what in 2009?,1
Beyonce became the highest-paid black musician in which year?,1
"Up until May of 2015, how much is Beyonce's total worth?",1
"Between 2008 and 2009, which entertainers did Beyonce beat in earnings?",1
In 2012 who placed Beyonce at 16 in the Celebrity List?,1
When did she and Jay Z become the highest paid black celebrity couple?,1
How much did she earn in 2014?,1
What is Beyonce's net worth in 2015?,1
"Who began reporting Beyoncé's annual earnings, starting in 2008?",1
"When did Beyoncé become the highest paid black musician, ever?",1
Who predicted that Beyoncé would become the highest paid black entertainer?,1
When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,1
Beyonce's range in singing is how many octaves?,1
who talked about Beyonce's tone and timbre as distinctive?,1
"Which critic called Beyonce's voice ""versatile""?",1
Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,1
How many octaves does Beyonce have?,1
What did the Daily Mail say about Beyonce's voice?,1
What does Rosen claim influenced Beyonce's style?,1
What do other critics claim?,1
How many octaves does Beyoncé's voice span?,1
Why is Beyoncé known as the centerpiece of Destiny's Child?,1
New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,1
What does Jody Rosen say influenced Beyoncé's vocal style?,1
Music from Beyonce is generally categorized as what genre?,1
"Besides R&B, which genres does Beyonce dabble in?",1
"Beyonce mostly releases English songs, but what other language did she release songs?",1
Spanish songs Beyonce released were for what?,1
Beyonce was coached for her Spanish songs by which American?,1
What kind of music does Beyonce do?,1
What language does she mainly sing?,1
What other language has she sung?,1
What album did she re-release in Spanish?,1
What style of music does Beyoncé usually perform?,1
What language did Beyoncé release several songs in?,1
Who coached Beyoncé for her Spanish recordings?,1
What album did the Spanish songs come from?,1
Beyonce does not create which aspect of her music?,1
An example of a song aimed towards a male audience is what?,1
What theme was Beyonce's early music?,1
With Jay Z what were her new themes?,1
What does she get credits for in her music?,1
What part of production does she do?,1
Beyoncé's early recordings empowered who?,1
"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?",1
"Rather than beats, what two things does Beyoncé usually come up with for producers?",1
Pop Songwriter of the Year award in 2001 was awarded to whom?,1
Beyonce received the Pop Songwriter of the Year award at which event?,1
Beyonce has the same number of writing credits on number one singles as whom?,1
Beyonce joined 2 other women on what list from Billboard magazine in 2011?,1
When did Beyonce become the first African American woman to win Pop songwriter of the year?,1
What place is she tied for in songwriting credits?,1
Who listed her at number 17 in their list of  Top 20 hot 100 Songwriters?,1
Where does she place in writing credits  for three number one songs?,1
"What did Beyoncé win in 2001, making her the first black woman to do so?",1
Who gave Beyoncé the Pop Songwriter of the Year award in 2001?,1
"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list.",1
What number was Beyoncé on the Top 20 Hot 100 Songwriters list?,1
To whom did Beyonce credit as her major influence on her music?,1
How old was Beyonce when she went to her first Michael Jackson concert as a kid?,1
Beyonce gave a tribute award to who in 2006?,1
Beyonce cites Mariah Carey to making her want to start doing what?,1
Who influenced Beyonce?,1
What song by Mariah Carey influenced her?,1
Who is Beyoncé's biggest musical influence?,1
What was Beyoncé's first concert?,1
Who does Beyoncé feel is an all-around entertainer?,1
"Who does she credit for the inspiration to ""get up there and do what she did""?",1
What song caused Beyoncé to practice runs as a child?,1
What themes were influenced by her acting role in Dreamgirls?,1
"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",1
Who motivated Beyonce to explore other areas of music?,1
What movie influenced Beyonce towards empowerment themes? ,1
How did Etta James influence her?,1
Where did she perform wearing Baker's hula skirt?,1
What singer inspired Beyoncé's B'Day album?,1
What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?,1
"Beyonce has noted which first lady with saying ""She proves you can do it all""?",1
Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,1
"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",1
Who personally influences Beyonce?,1
Hoe does she describe Oprah Winfrey?,1
How does she describe Jean- Michel Basquiat?,1
How does Madonna influence her?,1
How does she describe Jay Z?,1
"Who inspires Beyoncé because ""she does it all?""",1
Who does Beyoncé describe as the definition of inspiration?,1
Who does Beyoncé describe as lyrical and raw?,1
Who inspired Beyoncé to take control of her career?,1
Beyonce had an all-female tour band whose name was what?,1
Beyonce had singers in the background known by the name as?,1
The Mamas members included which 3 musicians?,1
The Mamas first appearance was when?,1
What band did Beyonce introduce in 2006?,1
What song name does the band Suga Mama  and a song on the B'Day album share?,1
Where did Suga Mama band make their first appearance?,1
What band supports Beyonce in her tours?,1
What is the name of Beyoncé's female tour band?,1
Suga Mama is also a song on which Beyoncé album?,1
What are Beyoncé's backup singers called?,1
When did The Mamas make their debut?,1
What characteristics has Beyonce received acclaim for?,1
Which former president of Def Jam called Beyonce the greatest entertainer alive?,1
For what does Beyonce receive praise?,1
Who chose her as number one on his list of Best singers/ Dancers?,1
How has L.A. Reid described her?,1
How does Alice Jones describe her?,1
Who has Beyoncé at number one on her Five Best Singer/Dancers?,1
Who has said that Beyoncé is the best entertainer alive?,1
Beyonce self proclaimed alter ego is named what?,1
Her alter ego was born when according to Beyonce?,1
What year did Beyonce do away with Sasha Fierce?,1
Beyonce brought back Sasha Fierce during which event?,1
How does she describe Sasha?,1
Later what did she say about Sasha?,1
What is the name of Beyoncé's alter ego?,1
When did Beyoncé introduce Sasha Fierce?,1
Sasha Fierce was created during the making of what song?,1
Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,1
Beyonce's sex appeal is characterized as what?,1
"Which music journalist described Beyonce as a ""crossover sex symbol?""",1
Which word spawned from a term used to describe Beyonce in 2006?,1
